Year,Gender,Learning Category,Learning sub-category (higher),Learning sub-category (lower),Value
2017,Boys,Specific Areas Of Learning,Expressive arts and design,17: being imaginative,69.2
2018,All,Prime Areas Of Learning,,,76.3
2018,All,Prime Areas Of Learning,Communication and Language,,62.2
2018,All,Prime Areas Of Learning,Communication and Language,1: Listening and Attention,62.2
2018,All,Prime Areas Of Learning,Communication and Language,2: Understanding,62.1
2018,All,Prime Areas Of Learning,Communication and Language,3: Speaking,64.3
2018,All,Prime Areas Of Learning,Physical Development,,85.5
2018,All,Prime Areas Of Learning,Physical Development,4: Moving and handling,71.5
2018,All,Prime Areas Of Learning,Physical Development,5: Health and self-care ,71.9
2018,All,Prime Areas Of Learning,"Personal, Social and Emotional Development",,82.4
2018,All,Prime Areas Of Learning,"Personal, Social and Emotional Development",6: Self-confidence and self-awareness,69.8
2018,All,Prime Areas Of Learning,"Personal, Social and Emotional Development",7: Managing feelings and behaviour,71.3
2018,All,Prime Areas Of Learning,"Personal, Social and Emotional Development",8: Making Relationships,73.1
2018,All,Prime Areas Of Learning,,,68.1
2018,All,Prime Areas Of Learning,Literacy,,70.7
2018,All,Specific Areas Of Learning,Literacy,9: Reading,58.6
2018,All,Specific Areas Of Learning,Literacy,10: Writing,59.8
2018,All,Specific Areas Of Learning,Mathematics,,76.7
2018,All,Specific Areas Of Learning,Mathematics,11: Numbers,62.7
2018,All,Specific Areas Of Learning,Mathematics,"12: Shape, space and measures",66.5
2018,All,Specific Areas Of Learning,Understanding the World,,81
2018,All,Specific Areas Of Learning,Understanding the World,13: People and Communities,70.8
2018,All,Specific Areas Of Learning,Understanding the World,14: The World,70.7
2018,All,Specific Areas Of Learning,Understanding the World,15: Technology ,78.6
2018,All,Specific Areas Of Learning,Expressive arts and design,,84.3
2018,All,Specific Areas Of Learning,Expressive arts and design,16: exploring and using media and materials,71.9
2018,All,Specific Areas Of Learning,Expressive arts and design,17: being imaginative,72.7
2018,Girls,Prime Areas Of Learning,,,83.1
2018,Girls,Prime Areas Of Learning,Communication and Language,,84.9
2018,Girls,Prime Areas Of Learning,Communication and Language,1: Listening and Attention,63.5
2018,Girls,Prime Areas Of Learning,Communication and Language,2: Understanding,64.7
2018,Girls,Prime Areas Of Learning,Communication and Language,3: Speaking,66
2018,Girls,Prime Areas Of Learning,Physical Development,,91.6
2018,Girls,Prime Areas Of Learning,Physical Development,4: Moving and handling,41.2
2018,Girls,Prime Areas Of Learning,Physical Development,5: Health and self-care ,71
2018,Girls,Prime Areas Of Learning,"Personal, Social and Emotional Development",,87.8
2018,Girls,Prime Areas Of Learning,"Personal, Social and Emotional Development",6: Self-confidence and self-awareness,70
2018,Girls,Prime Areas Of Learning,"Personal, Social and Emotional Development",7: Managing feelings and behaviour,71.7
2018,Girls,Prime Areas Of Learning,"Personal, Social and Emotional Development",8: Making Relationships,72.8
2018,Girls,Prime Areas Of Learning,,,76.1
2018,Girls,Prime Areas Of Learning,Literacy,,78
2018,Girls,Specific Areas Of Learning,Literacy,9: Reading,61.9
2018,Girls,Specific Areas Of Learning,Literacy,10: Writing,63.9
2018,Girls,Specific Areas Of Learning,Mathematics,,80.9
2018,Girls,Specific Areas Of Learning,Mathematics,11: Numbers,67.5
2018,Girls,Specific Areas Of Learning,Mathematics,"12: Shape, space and measures",71.9
2018,Girls,Specific Areas Of Learning,Understanding the World,,85.6
2018,Girls,Specific Areas Of Learning,Understanding the World,13: People and Communities,73.7
2018,Girls,Specific Areas Of Learning,Understanding the World,14: The World,74.6
2018,Girls,Specific Areas Of Learning,Understanding the World,15: Technology ,82.2
2018,Girls,Specific Areas Of Learning,Expressive arts and design,,90.9
2018,Girls,Specific Areas Of Learning,Expressive arts and design,16: exploring and using media and materials,73.9
2018,Girls,Specific Areas Of Learning,Expressive arts and design,17: being imaginative,74.7
2018,Boys,Prime Areas Of Learning,,,70.1
2018,Boys,Prime Areas Of Learning,Communication and Language,,73.9
2018,Boys,Prime Areas Of Learning,Communication and Language,1: Listening and Attention,60.9
2018,Boys,Prime Areas Of Learning,Communication and Language,2: Understanding,59.7
2018,Boys,Prime Areas Of Learning,Communication and Language,3: Speaking,62.7
2018,Boys,Prime Areas Of Learning,Physical Development,,79.9
2018,Boys,Prime Areas Of Learning,Physical Development,4: Moving and handling,70.9
2018,Boys,Prime Areas Of Learning,Physical Development,5: Health and self-care ,72.8
2018,Boys,Prime Areas Of Learning,"Personal, Social and Emotional Development",,77.4
2018,Boys,Prime Areas Of Learning,"Personal, Social and Emotional Development",6: Self-confidence and self-awareness,69.7
2018,Boys,Prime Areas Of Learning,"Personal, Social and Emotional Development",7: Managing feelings and behaviour,70.9
2018,Boys,Prime Areas Of Learning,"Personal, Social and Emotional Development",8: Making Relationships,73.4
2018,Boys,Prime Areas Of Learning,,,60.8
2018,Boys,Prime Areas Of Learning,Literacy,,64
2018,Boys,Specific Areas Of Learning,Literacy,9: Reading,55.5
2018,Boys,Specific Areas Of Learning,Literacy,10: Writing,56
2018,Boys,Specific Areas Of Learning,Mathematics,,72.7
2018,Boys,Specific Areas Of Learning,Mathematics,11: Numbers,58.2
2018,Boys,Specific Areas Of Learning,Mathematics,"12: Shape, space and measures",61.6
2018,Boys,Specific Areas Of Learning,Understanding the World,,76.8
2018,Boys,Specific Areas Of Learning,Understanding the World,13: People and Communities,68.1
2018,Boys,Specific Areas Of Learning,Understanding the World,14: The World,67.1
2018,Boys,Specific Areas Of Learning,Understanding the World,15: Technology ,75.2
2018,Boys,Specific Areas Of Learning,Expressive arts and design,,78
2018,Boys,Specific Areas Of Learning,Expressive arts and design,16: exploring and using media and materials,70.1
2018,Boys,Specific Areas Of Learning,Expressive arts and design,17: being imaginative,70.9
2019,All,Prime Areas Of Learning,,,76.4
2019,All,Prime Areas Of Learning,Communication and Language,,79.7
2019,All,Prime Areas Of Learning,Communication and Language,1: Listening and Attention,62.3
2019,All,Prime Areas Of Learning,Communication and Language,2: Understanding,62.9
2019,All,Prime Areas Of Learning,Communication and Language,3: Speaking,66.2
2019,All,Prime Areas Of Learning,Physical Development,,85.4
2019,All,Prime Areas Of Learning,Physical Development,4: Moving and handling,72
2019,All,Prime Areas Of Learning,Physical Development,5: Health and self-care ,70.8
2019,All,Prime Areas Of Learning,"Personal, Social and Emotional Development",,82
2019,All,Prime Areas Of Learning,"Personal, Social and Emotional Development",6: Self-confidence and self-awareness,68.7
2019,All,Prime Areas Of Learning,"Personal, Social and Emotional Development",7: Managing feelings and behaviour,70.8
2019,All,Prime Areas Of Learning,"Personal, Social and Emotional Development",8: Making Relationships,71.3
2019,All,Prime Areas Of Learning,,,69.3
2019,All,Prime Areas Of Learning,Literacy,,72.2
2019,All,Specific Areas Of Learning,Literacy,9: Reading,61.9
2019,All,Specific Areas Of Learning,Literacy,10: Writing,63
2019,All,Specific Areas Of Learning,Mathematics,,77.3
2019,All,Specific Areas Of Learning,Mathematics,11: Numbers,63.3
2019,All,Specific Areas Of Learning,Mathematics,"12: Shape, space and measures",67.3
2019,All,Specific Areas Of Learning,Understanding the World,,80.9
2019,All,Specific Areas Of Learning,Understanding the World,13: People and Communities,70.3
2019,All,Specific Areas Of Learning,Understanding the World,14: The World,67.5
2019,All,Specific Areas Of Learning,Understanding the World,15: Technology ,73.7
2019,All,Specific Areas Of Learning,Expressive arts and design,,83.4
2019,All,Specific Areas Of Learning,Expressive arts and design,16: exploring and using media and materials,71.6
2019,All,Specific Areas Of Learning,Expressive arts and design,17: being imaginative,71.5
2019,Girls,Prime Areas Of Learning,,,83.1
2019,Girls,Prime Areas Of Learning,Communication and Language,,85.3
2019,Girls,Prime Areas Of Learning,Communication and Language,1: Listening and Attention,61.7
2019,Girls,Prime Areas Of Learning,Communication and Language,2: Understanding,62.6
2019,Girls,Prime Areas Of Learning,Communication and Language,3: Speaking,66.7
2019,Girls,Prime Areas Of Learning,Physical Development,,90.8
2019,Girls,Prime Areas Of Learning,Physical Development,4: Moving and handling,73
2019,Girls,Prime Areas Of Learning,Physical Development,5: Health and self-care ,69
2019,Girls,Prime Areas Of Learning,"Personal, Social and Emotional Development",,88
2019,Girls,Prime Areas Of Learning,"Personal, Social and Emotional Development",6: Self-confidence and self-awareness,68.8
2019,Girls,Prime Areas Of Learning,"Personal, Social and Emotional Development",7: Managing feelings and behaviour,71.2
2019,Girls,Prime Areas Of Learning,"Personal, Social and Emotional Development",8: Making Relationships,70.7
2019,Girls,Prime Areas Of Learning,,,76.4
2019,Girls,Prime Areas Of Learning,Literacy,,78.5
2019,Girls,Specific Areas Of Learning,Literacy,9: Reading,65.4
2019,Girls,Specific Areas Of Learning,Literacy,10: Writing,66
2019,Girls,Specific Areas Of Learning,Mathematics,,81.2
2019,Girls,Specific Areas Of Learning,Mathematics,11: Numbers,68.5
2019,Girls,Specific Areas Of Learning,Mathematics,"12: Shape, space and measures",71.3
2019,Girls,Specific Areas Of Learning,Understanding the World,,85
2019,Girls,Specific Areas Of Learning,Understanding the World,13: People and Communities,72.3
2019,Girls,Specific Areas Of Learning,Understanding the World,14: The World,69.6
2019,Girls,Specific Areas Of Learning,Understanding the World,15: Technology ,77.6
2019,Girls,Specific Areas Of Learning,Expressive arts and design,,90.4
2019,Girls,Specific Areas Of Learning,Expressive arts and design,16: exploring and using media and materials,73.6
2019,Girls,Specific Areas Of Learning,Expressive arts and design,17: being imaginative,73.5
2019,Boys,Prime Areas Of Learning,,,69.9
2019,Boys,Prime Areas Of Learning,Communication and Language,,74.2
2019,Boys,Prime Areas Of Learning,Communication and Language,1: Listening and Attention,62.8
2019,Boys,Prime Areas Of Learning,Communication and Language,2: Understanding,63.2
2019,Boys,Prime Areas Of Learning,Communication and Language,3: Speaking,65.6
2019,Boys,Prime Areas Of Learning,Physical Development,,80.1
2019,Boys,Prime Areas Of Learning,Physical Development,4: Moving and handling,70.9
2019,Boys,Prime Areas Of Learning,Physical Development,5: Health and self-care ,72.7
2019,Boys,Prime Areas Of Learning,"Personal, Social and Emotional Development",,76
2019,Boys,Prime Areas Of Learning,"Personal, Social and Emotional Development",6: Self-confidence and self-awareness,68.6
2019,Boys,Prime Areas Of Learning,"Personal, Social and Emotional Development",7: Managing feelings and behaviour,70.5
2019,Boys,Prime Areas Of Learning,"Personal, Social and Emotional Development",8: Making Relationships,71.9
2019,Boys,Prime Areas Of Learning,,,62.4
2019,Boys,Prime Areas Of Learning,Literacy,,66.1
2019,Boys,Specific Areas Of Learning,Literacy,9: Reading,73.4
2019,Boys,Specific Areas Of Learning,Literacy,10: Writing,60.1
2019,Boys,Specific Areas Of Learning,Mathematics,,73.4
2019,Boys,Specific Areas Of Learning,Mathematics,11: Numbers,58.2
2019,Boys,Specific Areas Of Learning,Mathematics,"12: Shape, space and measures",63.4
2019,Boys,Specific Areas Of Learning,Understanding the World,,76.9
2019,Boys,Specific Areas Of Learning,Understanding the World,13: People and Communities,63.8
2019,Boys,Specific Areas Of Learning,Understanding the World,14: The World,65.5
2019,Boys,Specific Areas Of Learning,Understanding the World,15: Technology ,69.9
2019,Boys,Specific Areas Of Learning,Expressive arts and design,,76.5
2019,Boys,Specific Areas Of Learning,Expressive arts and design,16: exploring and using media and materials,69.7
2019,Boys,Specific Areas Of Learning,Expressive arts and design,17: being imaginative,69.6
